225,1700,780
225,1700,790
225,1700,800
225,1700,810
225,1700,820
225,1700,830
225,1800,780
225,1800,790
225,1800,800
225,1800,810
225,1800,820
225,1800,830
225,1900,780
225,1900,790
225,1900,800
225,1900,810
225,1900,820
225,1900,830
225,2000,780
225,2000,790
225,2000,800
225,2000,810
225,2000,820
225,2000,830
225,2100,780
225,2100,790
225,2100,800
225,2100,810
225,2100,820
225,2100,830
225,2200,780
225,2200,790
225,2200,800
225,2200,810
225,2200,820
225,2200,830
225,2300,780
225,2300,790
225,2300,800
225,2300,810
225,2300,820
225,2300,830
225,2400,780
225,2400,790
225,2400,800
225,2400,810
225,2400,820
225,2400,830
225,2500,780
225,2500,790
225,2500,800
225,2500,810
225,2500,820
225,2500,830
226,1700,780
226,1700,790
226,1700,800
226,1700,810
226,1700,820
226,1700,830
226,1800,780
226,1800,790
226,1800,800
226,1800,810
226,1800,820
226,1800,830
226,1900,780
226,1900,790
226,1900,800
226,1900,810
226,1900,820
226,1900,830
226,2000,780
226,2000,790
226,2000,800
226,2000,810
226,2000,820
226,2000,830
226,2100,780
226,2100,790
226,2100,800
226,2100,810
226,2100,820
226,2100,830
226,2200,780
226,2200,790
226,2200,800
226,2200,810
226,2200,820
226,2200,830
226,2300,780
226,2300,790
226,2300,800
226,2300,810
226,2300,820
226,2300,830
226,2400,780
226,2400,790
226,2400,800
226,2400,810
226,2400,820
226,2400,830
226,2500,780
226,2500,790
226,2500,800
226,2500,810
226,2500,820
226,2500,830
227,1700,780
227,1700,790
227,1700,800
227,1700,810
227,1700,820
227,1700,830
227,1800,780
227,1800,790
227,1800,800
227,1800,810
227,1800,820
227,1800,830
227,1900,780
227,1900,790
227,1900,800
227,1900,810
227,1900,820
227,1900,830
227,2000,780
227,2000,790
227,2000,800
227,2000,810
227,2000,820
227,2000,830
227,2100,780
227,2100,790
227,2100,800
227,2100,810
227,2100,820
227,2100,830
227,2200,780
227,2200,790
227,2200,800
227,2200,810
227,2200,820
227,2200,830
227,2300,780
227,2300,790
227,2300,800
227,2300,810
227,2300,820
227,2300,830
227,2400,780
227,2400,790
227,2400,800
227,2400,810
227,2400,820
227,2400,830
227,2500,780
227,2500,790
227,2500,800
227,2500,810
227,2500,820
227,2500,830
228,1700,780
228,1700,790
228,1700,800
228,1700,810
228,1700,820
228,1700,830
228,1800,780
228,1800,790
228,1800,800
228,1800,810
228,1800,820
228,1800,830
228,1900,780
228,1900,790
228,1900,800
228,1900,810
228,1900,820
228,1900,830
228,2000,780
228,2000,790
228,2000,800
228,2000,810
228,2000,820
228,2000,830
228,2100,780
228,2100,790
228,2100,800
228,2100,810
228,2100,820
228,2100,830
228,2200,780
228,2200,790
228,2200,800
228,2200,810
228,2200,820
228,2200,830
228,2300,780
228,2300,790
228,2300,800
228,2300,810
228,2300,820
228,2300,830
228,2400,780
228,2400,790
228,2400,800
228,2400,810
228,2400,820
228,2400,830
228,2500,780
228,2500,790
228,2500,800
228,2500,810
228,2500,820
228,2500,830
229,1700,780
229,1700,790
229,1700,800
229,1700,810
229,1700,820
229,1700,830
229,1800,780
229,1800,790
229,1800,800
229,1800,810
229,1800,820
229,1800,830
229,1900,780
229,1900,790
229,1900,800
229,1900,810
229,1900,820
229,1900,830
229,2000,780
229,2000,790
229,2000,800
229,2000,810
229,2000,820
229,2000,830
229,2100,780
229,2100,790
229,2100,800
229,2100,810
229,2100,820
229,2100,830
229,2200,780
229,2200,790
229,2200,800
229,2200,810
229,2200,820
229,2200,830
229,2300,780
229,2300,790
229,2300,800
229,2300,810
229,2300,820
229,2300,830
229,2400,780
229,2400,790
229,2400,800
229,2400,810
229,2400,820
229,2400,830
229,2500,780
229,2500,790
229,2500,800
229,2500,810
229,2500,820
229,2500,830
230,1700,780
230,1700,790
230,1700,800
230,1700,810
230,1700,820
230,1700,830
230,1800,780
230,1800,790
230,1800,800
230,1800,810
230,1800,820
230,1800,830
230,1900,780
230,1900,790
230,1900,800
230,1900,810
230,1900,820
230,1900,830
230,2000,780
230,2000,790
230,2000,800
230,2000,810
230,2000,820
230,2000,830
230,2100,780
230,2100,790
230,2100,800
230,2100,810
230,2100,820
230,2100,830
230,2200,780
230,2200,790
230,2200,800
230,2200,810
230,2200,820
230,2200,830
230,2300,780
230,2300,790
230,2300,800
230,2300,810
230,2300,820
230,2300,830
230,2400,780
230,2400,790
230,2400,800
230,2400,810
230,2400,820
230,2400,830
230,2500,780
230,2500,790
230,2500,800
230,2500,810
230,2500,820
230,2500,830
