-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
4.0131e+10,3.9435e+10,3.8689e+10,3.7907e+10,3.7086e+10,3.6234e+10,3.5353e+10,3.4445e+10,3.3519e+10,3.2568e+10,1.3842e+09,1.116e+09,8.8135e+08,6.7545e+08,4.925e+08,3.4601e+08,2.2065e+08,1.23e+08,5.9241e+07,1.4106e+07,0,1.4106e+07,4.7288e+07,1.1314e+08,2.0101e+08,3.0929e+08,4.4975e+08,6.0812e+08,7.8719e+08,9.9688e+08,1.2216e+09,1.4664e+09,1.7398e+09,2.0262e+09,6.7983e+09,7.2788e+09,7.7726e+09,8.2804e+09,8.7885e+09,9.3045e+09,9.8344e+09,1.0364e+10,1.0895e+10,1.1437e+10,1.1981e+10,1.2522e+10,1.3066e+10,1.3616e+10,1.416e+10,1.47e+10,1.5243e+10,1.5784e+10,1.6315e+10,1.6841e+10
4.3574e+10,4.2739e+10,4.1858e+10,4.0946e+10,3.9996e+10,3.9022e+10,3.802e+10,3.6997e+10,3.5956e+10,3.4897e+10,1.4522e+09,1.1714e+09,9.2348e+08,7.0883e+08,5.169e+08,3.6233e+08,2.3217e+08,1.2911e+08,6.2473e+07,1.6034e+07,0,1.6034e+07,5.133e+07,1.1902e+08,2.1288e+08,3.2661e+08,4.7302e+08,6.4064e+08,8.2844e+08,1.0478e+09,1.285e+09,1.5417e+09,1.8282e+09,2.1301e+09,7.1512e+09,7.6585e+09,8.1787e+09,8.715e+09,9.2526e+09,9.7977e+09,1.0357e+10,1.0919e+10,1.1482e+10,1.2055e+10,1.2634e+10,1.3209e+10,1.3787e+10,1.4373e+10,1.4953e+10,1.5529e+10,1.6109e+10,1.6688e+10,1.7257e+10,1.7822e+10
4.6923e+10,4.5952e+10,4.494e+10,4.3901e+10,4.2827e+10,4.1733e+10,4.0613e+10,3.9478e+10,3.8325e+10,3.7161e+10,1.517e+09,1.2242e+09,9.6375e+08,7.4025e+08,5.3995e+08,3.772e+08,2.4271e+08,1.3472e+08,6.4966e+07,1.7587e+07,0,1.7587e+07,5.5251e+07,1.2469e+08,2.244e+08,3.4373e+08,4.956e+08,6.7251e+08,8.6907e+08,1.0975e+09,1.3471e+09,1.6156e+09,1.9145e+09,2.2318e+09,7.4954e+09,8.0289e+09,8.5748e+09,9.1385e+09,9.705e+09,1.0278e+10,1.0867e+10,1.146e+10,1.2054e+10,1.2657e+10,1.327e+10,1.3878e+10,1.4489e+10,1.5108e+10,1.5725e+10,1.6336e+10,1.6951e+10,1.7568e+10,1.8175e+10,1.8777e+10
5.018e+10,4.9077e+10,4.7938e+10,4.6774e+10,4.5579e+10,4.4369e+10,4.3133e+10,4.1889e+10,4.0628e+10,3.9361e+10,1.5786e+09,1.2746e+09,1.0022e+09,7.6981e+08,5.617e+08,3.9069e+08,2.5233e+08,1.3987e+08,6.6762e+07,1.8787e+07,0,1.8787e+07,5.9056e+07,1.305e+08,2.3558e+08,3.6065e+08,5.1767e+08,7.0373e+08,9.0909e+08,1.1461e+09,1.4079e+09,1.6883e+09,1.9988e+09,2.3313e+09,7.8312e+09,8.3903e+09,8.9614e+09,9.5514e+09,1.0146e+10,1.0747e+10,1.1363e+10,1.1987e+10,1.2611e+10,1.3245e+10,1.3889e+10,1.4529e+10,1.5172e+10,1.5825e+10,1.6476e+10,1.7122e+10,1.7771e+10,1.8424e+10,1.9068e+10,1.9706e+10
5.3978e+10,5.2685e+10,5.1368e+10,5.0024e+10,4.8668e+10,4.729e+10,4.5907e+10,4.4509e+10,4.311e+10,4.1704e+10,1.6167e+09,1.3017e+09,1.0289e+09,7.8218e+08,5.7187e+08,3.9827e+08,2.504e+08,1.4237e+08,6.2748e+07,1.172e+07,0,1.172e+07,5.4017e+07,1.3265e+08,2.3219e+08,3.631e+08,5.2641e+08,7.0921e+08,9.2306e+08,1.1655e+09,1.4262e+09,1.7165e+09,2.0326e+09,2.365e+09,7.9388e+09,8.5031e+09,9.087e+09,9.6778e+09,1.0275e+10,1.0886e+10,1.1508e+10,1.2131e+10,1.2762e+10,1.3405e+10,1.4046e+10,1.4689e+10,1.5341e+10,1.5995e+10,1.6644e+10,1.7294e+10,1.7951e+10,1.8599e+10,1.9241e+10,1.9885e+10
5.7041e+10,5.5626e+10,5.4188e+10,5.2729e+10,5.1259e+10,4.9771e+10,4.8281e+10,4.6779e+10,4.5281e+10,4.3776e+10,1.6797e+09,1.3524e+09,1.0688e+09,8.135e+08,5.94e+08,4.1455e+08,2.6129e+08,1.4771e+08,6.633e+07,1.2958e+07,0,1.2958e+07,5.5905e+07,1.3724e+08,2.4096e+08,3.7545e+08,5.4506e+08,7.3489e+08,9.5519e+08,1.2072e+09,1.4777e+09,1.7773e+09,2.1058e+09,2.4508e+09,8.2372e+09,8.8238e+09,9.4302e+09,1.0046e+10,1.0668e+10,1.1303e+10,1.1952e+10,1.2602e+10,1.3259e+10,1.393e+10,1.4601e+10,1.5272e+10,1.5953e+10,1.6638e+10,1.7318e+10,1.7999e+10,1.8687e+10,1.9368e+10,2.0043e+10,2.0719e+10
6.0022e+10,5.8487e+10,5.6931e+10,5.536e+10,5.3778e+10,5.2185e+10,5.059e+10,4.8987e+10,4.7391e+10,4.579e+10,1.7404e+09,1.4013e+09,1.1069e+09,8.4363e+08,6.1549e+08,4.3008e+08,2.7185e+08,1.5271e+08,6.9807e+07,1.4438e+07,0,1.4438e+07,5.8287e+07,1.4199e+08,2.5001e+08,3.8824e+08,5.6372e+08,7.6062e+08,9.8744e+08,1.2485e+09,1.5287e+09,1.8376e+09,2.1779e+09,2.5354e+09,8.5288e+09,9.1373e+09,9.7653e+09,1.0406e+10,1.1051e+10,1.1711e+10,1.2385e+10,1.3061e+10,1.3745e+10,1.4442e+10,1.5141e+10,1.5841e+10,1.6549e+10,1.7264e+10,1.7974e+10,1.8685e+10,1.9403e+10,2.0117e+10,2.0824e+10,2.1532e+10
4.1512e+10,4.0744e+10,3.9928e+10,3.9081e+10,3.8195e+10,3.7284e+10,3.6343e+10,3.5381e+10,3.44e+10,3.34e+10,1.3954e+09,1.1253e+09,8.8723e+08,6.8096e+08,4.9644e+08,3.4821e+08,2.2301e+08,1.24e+08,6.0151e+07,1.533e+07,0,1.533e+07,4.8913e+07,1.1396e+08,2.0369e+08,3.1239e+08,4.5275e+08,6.1293e+08,7.9241e+08,1.0024e+09,1.2289e+09,1.4739e+09,1.7477e+09,2.0357e+09,6.8077e+09,7.2874e+09,7.7791e+09,8.2857e+09,8.7927e+09,9.3062e+09,9.8335e+09,1.0361e+10,1.089e+10,1.1427e+10,1.1969e+10,1.2507e+10,1.3046e+10,1.3592e+10,1.4132e+10,1.4667e+10,1.5204e+10,1.574e+10,1.6265e+10,1.6784e+10
4.4938e+10,4.4031e+10,4.3081e+10,4.2104e+10,4.1091e+10,4.0057e+10,3.8996e+10,3.7919e+10,3.6824e+10,3.5716e+10,1.4619e+09,1.1796e+09,9.2863e+08,7.1331e+08,5.2016e+08,3.6358e+08,2.3389e+08,1.2979e+08,6.2782e+07,1.6949e+07,0,1.6949e+07,5.292e+07,1.1976e+08,2.1549e+08,3.299e+08,4.7592e+08,6.4558e+08,8.3402e+08,1.0534e+09,1.2925e+09,1.5497e+09,1.8363e+09,2.1399e+09,7.1611e+09,7.6677e+09,8.1859e+09,8.7207e+09,9.2573e+09,9.8e+09,1.0357e+10,1.0917e+10,1.1477e+10,1.2046e+10,1.2622e+10,1.3194e+10,1.3767e+10,1.4348e+10,1.4925e+10,1.5496e+10,1.607e+10,1.6644e+10,1.7208e+10,1.7766e+10
